Ostrava,Antošovice,Ostrava-město,Moravskoslezský
Ostrava,Trolejbusové garáže,Ostrava-město,Moravskoslezský
Ostrava,Křižíkova,Ostrava-město,Moravskoslezský
Ostrava,Jirská osada,Ostrava-město,Moravskoslezský
Ostrava,Poděbradova-sever,Ostrava-město,Moravskoslezský
Ostrava,Valchařská,Ostrava-město,Moravskoslezský
Ostrava,Jindřiška,Ostrava-město,Moravskoslezský
Ostrava,Ostrava-střed II,Ostrava-město,Moravskoslezský
Ostrava,Ostrava-střed I,Ostrava-město,Moravskoslezský
Ostrava,Husův sad,Ostrava-město,Moravskoslezský
Ostrava,Radnice,Ostrava-město,Moravskoslezský
Ostrava,Historické jádro,Ostrava-město,Moravskoslezský
Ostrava,Výstaviště Černá louka,Ostrava-město,Moravskoslezský
Ostrava,Karolina,Ostrava-město,Moravskoslezský
Ostrava,Hlubina,Ostrava-město,Moravskoslezský
Ostrava,Autobusové nádraží,Ostrava-město,Moravskoslezský
Ostrava,Hlubinská osada,Ostrava-město,Moravskoslezský
Ostrava,Šalamouna-jih,Ostrava-město,Moravskoslezský
Ostrava,Hornické učiliště I,Ostrava-město,Moravskoslezský
Ostrava,Šalamouna-východ,Ostrava-město,Moravskoslezský
Ostrava,Šalamouna-západ,Ostrava-město,Moravskoslezský
Ostrava,Dům kultury,Ostrava-město,Moravskoslezský
Ostrava,Nemocnice Fifejdy,Ostrava-město,Moravskoslezský
Ostrava,Podchody Fifejdy,Ostrava-město,Moravskoslezský
Ostrava,Nákladové nádraží,Ostrava-město,Moravskoslezský
Ostrava,Cihelní,Ostrava-město,Moravskoslezský
Ostrava,Futurum,Ostrava-město,Moravskoslezský
Ostrava,Sídliště Fifejdy,Ostrava-město,Moravskoslezský
Ostrava,Cihelna-sklady,Ostrava-město,Moravskoslezský
Ostrava,U petrolejky,Ostrava-město,Moravskoslezský
Ostrava,Hlavní nádraží,Ostrava-město,Moravskoslezský
Ostrava,Rybníky,Ostrava-město,Moravskoslezský
Ostrava,Přívoz-sever,Ostrava-město,Moravskoslezský
Ostrava,Přívoz-střed,Ostrava-město,Moravskoslezský
Ostrava,Přívoz-východ,Ostrava-město,Moravskoslezský
Ostrava,Odval u Ostravice,Ostrava-město,Moravskoslezský
Ostrava,Na Františku,Ostrava-město,Moravskoslezský
Ostrava,Přívoz-Dolní pole,Ostrava-město,Moravskoslezský
Ostrava,Mariánské Hory-východ,Ostrava-město,Moravskoslezský
Ostrava,Pod cihelnou,Ostrava-město,Moravskoslezský
Ostrava,Švermova,Ostrava-město,Moravskoslezský
Ostrava,Mariánské Hory-střed,Ostrava-město,Moravskoslezský
Ostrava,Sídliště Vršovců,Ostrava-město,Moravskoslezský
Ostrava,Nový rybník,Ostrava-město,Moravskoslezský
Ostrava,U nádraží,Ostrava-město,Moravskoslezský
Ostrava,Nádraží Mariánské Hory,Ostrava-město,Moravskoslezský
Ostrava,Nad tratí,Ostrava-město,Moravskoslezský
Ostrava,Odvaly u Odry,Ostrava-město,Moravskoslezský
Ostrava,Nová Ves-sever,Ostrava-město,Moravskoslezský
Ostrava,Nová Ves-jih,Ostrava-město,Moravskoslezský
Ostrava,Přední rybník,Ostrava-město,Moravskoslezský
Ostrava,Bedřiška,Ostrava-město,Moravskoslezský
Ostrava,Železárenská,Ostrava-město,Moravskoslezský
Ostrava,Martinská,Ostrava-město,Moravskoslezský
Ostrava,Hornické učiliště II,Ostrava-město,Moravskoslezský
Ostrava,U plynojemu,Ostrava-město,Moravskoslezský
Ostrava,Vítkovice-střed,Ostrava-město,Moravskoslezský
Ostrava,Vítkovice-zámek,Ostrava-město,Moravskoslezský
Ostrava,Vítkovice-východ,Ostrava-město,Moravskoslezský
Ostrava,Jeremenkova osada,Ostrava-město,Moravskoslezský
Ostrava,Nádraží Vítkovice,Ostrava-město,Moravskoslezský
Ostrava,Lojzova,Ostrava-město,Moravskoslezský
Ostrava,Vítkovice-jih,Ostrava-město,Moravskoslezský
Ostrava,Vítkovice-stadión,Ostrava-město,Moravskoslezský
Ostrava,U nemocnice,Ostrava-město,Moravskoslezský
Ostrava,Nemocnice Zábřeh,Ostrava-město,Moravskoslezský
Ostrava,U závor,Ostrava-město,Moravskoslezský
Ostrava,Válcovní,Ostrava-město,Moravskoslezský
Ostrava,Syllabova,Ostrava-město,Moravskoslezský
Ostrava,Hulváky-jih,Ostrava-město,Moravskoslezský
Ostrava,Horní Pole,Ostrava-město,Moravskoslezský
Ostrava,Kunčičky-kalová pole,Ostrava-město,Moravskoslezský
Ostrava,Osada Míru,Ostrava-město,Moravskoslezský
Ostrava,Pod Lihovarskou,Ostrava-město,Moravskoslezský
Ostrava,Kunčičky-Škrobálkova,Ostrava-město,Moravskoslezský
Ostrava,Kunčice-sever,Ostrava-město,Moravskoslezský
Ostrava,Kunčice-jih,Ostrava-město,Moravskoslezský
Ostrava,Lešetínská,Ostrava-město,Moravskoslezský
Ostrava,Kunčice-za humny,Ostrava-město,Moravskoslezský
Ostrava,Kunčičky-Nová osada,Ostrava-město,Moravskoslezský
Ostrava,Kunčičky-u haldy,Ostrava-město,Moravskoslezský
Ostrava,Kunčice-střed,Ostrava-město,Moravskoslezský
Ostrava,Družstvo-sever,Ostrava-město,Moravskoslezský
Ostrava,Družstvo-jih,Ostrava-město,Moravskoslezský
Ostrava,Internáty,Ostrava-město,Moravskoslezský
Ostrava,U lípy,Ostrava-město,Moravskoslezský
Ostrava,Starý Zábřeh-střed,Ostrava-město,Moravskoslezský
Ostrava,Starý Zábřeh-sever,Ostrava-město,Moravskoslezský
Ostrava,Nad Samaritánskou,Ostrava-město,Moravskoslezský
Ostrava,Louky-sever,Ostrava-město,Moravskoslezský
Ostrava,Zábřeh-jih,Ostrava-město,Moravskoslezský
Ostrava,Nový Zábřeh-Chrjukinova,Ostrava-město,Moravskoslezský
Ostrava,Gurtěvova,Ostrava-město,Moravskoslezský
Ostrava,Volgogradská-sever,Ostrava-město,Moravskoslezský
Ostrava,Louky-jih,Ostrava-město,Moravskoslezský
Ostrava,Ulice Svornosti,Ostrava-město,Moravskoslezský
Ostrava,Zábřeh-u stadiónu,Ostrava-město,Moravskoslezský
Ostrava,Bělský les-západ,Ostrava-město,Moravskoslezský
Ostrava,Bělský les-východ,Ostrava-město,Moravskoslezský
Ostrava,U Bělského lesa,Ostrava-město,Moravskoslezský
Ostrava,Mitušova,Ostrava-město,Moravskoslezský
Ostrava,Odborářská,Ostrava-město,Moravskoslezský
Ostrava,Dvouletky,Ostrava-město,Moravskoslezský
Ostrava,Hrabůvka-učiliště,Ostrava-město,Moravskoslezský
Ostrava,Jubilejní kolonie,Ostrava-město,Moravskoslezský
Ostrava,U haldy,Ostrava-město,Moravskoslezský
Ostrava,Hrabůvka-odval,Ostrava-město,Moravskoslezský
Ostrava,Sídliště Šídlovec,Ostrava-město,Moravskoslezský
Ostrava,Hrabová,Ostrava-město,Moravskoslezský
Ostrava,U Ostravice,Ostrava-město,Moravskoslezský
Ostrava,Na Místecké,Ostrava-město,Moravskoslezský
Ostrava,Krmelínská,Ostrava-město,Moravskoslezský
Ostrava,Letiště-východ,Ostrava-město,Moravskoslezský
Ostrava,Nová Klegova,Ostrava-město,Moravskoslezský
Ostrava,Poliklinika Zábřeh,Ostrava-město,Moravskoslezský
Ostrava,Letiště-střed,Ostrava-město,Moravskoslezský
Ostrava,Letiště-západ,Ostrava-město,Moravskoslezský
Ostrava,Slezská Ostrava-střed,Ostrava-město,Moravskoslezský
Ostrava,Slezská Ostrava-Kamenec,Ostrava-město,Moravskoslezský
Ostrava,Slezská Ostrava-Hladnov,Ostrava-město,Moravskoslezský
Ostrava,Nová osada,Ostrava-město,Moravskoslezský
Ostrava,Heřmanice-Koněvova,Ostrava-město,Moravskoslezský
Ostrava,Ida,Ostrava-město,Moravskoslezský
Ostrava,Heřmanický rybník,Ostrava-město,Moravskoslezský
Ostrava,Heřmanice,Ostrava-město,Moravskoslezský
Ostrava,U Velkého Dvora,Ostrava-město,Moravskoslezský
Ostrava,Vrbická,Ostrava-město,Moravskoslezský
Ostrava,Fišerova,Ostrava-město,Moravskoslezský
Ostrava,Rychvaldská,Ostrava-město,Moravskoslezský
Ostrava,Radvanická,Ostrava-město,Moravskoslezský
Ostrava,Michálkovice-střed,Ostrava-město,Moravskoslezský
Ostrava,Pikartská,Ostrava-město,Moravskoslezský
Ostrava,Stromovka,Ostrava-město,Moravskoslezský
Ostrava,Na Najmanské,Ostrava-město,Moravskoslezský
Ostrava,Trojické údolí,Ostrava-město,Moravskoslezský
Ostrava,Slezská Ostrava-u hradu,Ostrava-město,Moravskoslezský
Ostrava,Ústřední hřbitov,Ostrava-město,Moravskoslezský
Ostrava,Zvěřina,Ostrava-město,Moravskoslezský
Ostrava,Salmovec,Ostrava-město,Moravskoslezský
Ostrava,Salma,Ostrava-město,Moravskoslezský
Ostrava,U Těšínské,Ostrava-město,Moravskoslezský
Ostrava,Dopravní podnik,Ostrava-město,Moravskoslezský
Ostrava,Nad Lučinou,Ostrava-město,Moravskoslezský
Ostrava,Zárubek,Ostrava-město,Moravskoslezský
Ostrava,Odval u Lučiny,Ostrava-město,Moravskoslezský
Ostrava,Na stavě,Ostrava-město,Moravskoslezský
Ostrava,Hrušov-střed,Ostrava-město,Moravskoslezský
Ostrava,Marxův sad,Ostrava-město,Moravskoslezský
Ostrava,Mexiko,Ostrava-město,Moravskoslezský
Ostrava,Muglinov,Ostrava-město,Moravskoslezský
Ostrava,Rehabilitační středisko,Ostrava-město,Moravskoslezský
Ostrava,Na cihelně,Ostrava-město,Moravskoslezský
Ostrava,Na Liščině,Ostrava-město,Moravskoslezský
Ostrava,Orlovská,Ostrava-město,Moravskoslezský
Ostrava,Hrušovský rybník,Ostrava-město,Moravskoslezský
Ostrava,U hřbitova,Ostrava-město,Moravskoslezský
Ostrava,Radvanice-střed,Ostrava-město,Moravskoslezský
Ostrava,Trnkovec,Ostrava-město,Moravskoslezský
Ostrava,U Velkého lesa,Ostrava-město,Moravskoslezský
Ostrava,Velký ostravský les,Ostrava-město,Moravskoslezský
Ostrava,Ludvík,Ostrava-město,Moravskoslezský
Ostrava,Les Bučina,Ostrava-město,Moravskoslezský
Ostrava,Podlesí,Ostrava-město,Moravskoslezský
Ostrava,Bartovice,Ostrava-město,Moravskoslezský
Ostrava,Paseky,Ostrava-město,Moravskoslezský
Ostrava,Lipinská,Ostrava-město,Moravskoslezský
Ostrava,U Bučínského lesa,Ostrava-město,Moravskoslezský
Ostrava,U Lučiny,Ostrava-město,Moravskoslezský
Ostrava,První obvod,Ostrava-město,Moravskoslezský
Ostrava,Budovatelská,Ostrava-město,Moravskoslezský
Ostrava,Dům kultury Poruba,Ostrava-město,Moravskoslezský
Ostrava,Náměstí Vítězslava Nováka,Ostrava-město,Moravskoslezský
Ostrava,Havanská,Ostrava-město,Moravskoslezský
Ostrava,Bohuslava Martinů,Ostrava-město,Moravskoslezský
Ostrava,Poruba-u stadiónu,Ostrava-město,Moravskoslezský
Ostrava,Poliklinika Poruba,Ostrava-město,Moravskoslezský
Ostrava,Liptaňské náměstí,Ostrava-město,Moravskoslezský
Ostrava,Čtvrtý obvod-jih,Ostrava-město,Moravskoslezský
Ostrava,Čtvrtý obvod-sever,Ostrava-město,Moravskoslezský
Ostrava,Pátý obvod-sever,Ostrava-město,Moravskoslezský
Ostrava,Pátý obvod-jih,Ostrava-město,Moravskoslezský
Ostrava,Nemocnice Poruba,Ostrava-město,Moravskoslezský
Ostrava,Myslivna,Ostrava-město,Moravskoslezský
Ostrava,Vysoké školy,Ostrava-město,Moravskoslezský
Ostrava,Osmý obvod,Ostrava-město,Moravskoslezský
Ostrava,Pustkovec,Ostrava-město,Moravskoslezský
Ostrava,Záplotí,Ostrava-město,Moravskoslezský
Ostrava,Poruba-učiliště,Ostrava-město,Moravskoslezský
Ostrava,Slavíkova,Ostrava-město,Moravskoslezský
Ostrava,Sedmý obvod,Ostrava-město,Moravskoslezský
Ostrava,Svoboda,Ostrava-město,Moravskoslezský
Ostrava,Padělky,Ostrava-město,Moravskoslezský
Ostrava,Martinov,Ostrava-město,Moravskoslezský
Ostrava,Dlouhý důl,Ostrava-město,Moravskoslezský
Ostrava,Martinovská smyčka,Ostrava-město,Moravskoslezský
Ostrava,U Opavice,Ostrava-město,Moravskoslezský
Ostrava,Turkov,Ostrava-město,Moravskoslezský
Ostrava,Třebovice-sever,Ostrava-město,Moravskoslezský
Ostrava,Třebovice,Ostrava-město,Moravskoslezský
Ostrava,1. máje,Ostrava-město,Moravskoslezský
Ostrava,Elektrárenská,Ostrava-město,Moravskoslezský
Ostrava,U Odry,Ostrava-město,Moravskoslezský
Ostrava,Nádraží Svinov,Ostrava-město,Moravskoslezský
Ostrava,Bílovecká,Ostrava-město,Moravskoslezský
Ostrava,Bratří Sedláčků,Ostrava-město,Moravskoslezský
Ostrava,V Mlýnské,Ostrava-město,Moravskoslezský
Ostrava,Svinov-střed,Ostrava-město,Moravskoslezský
Ostrava,Stará Poruba-východ,Ostrava-město,Moravskoslezský
Ostrava,Stará Poruba-západ,Ostrava-město,Moravskoslezský
Ostrava,Záhumenice,Ostrava-město,Moravskoslezský
Ostrava,Velká strana-sever,Ostrava-město,Moravskoslezský
Ostrava,Velká strana-jih,Ostrava-město,Moravskoslezský
Ostrava,Svinovský les,Ostrava-město,Moravskoslezský
Ostrava,Výškovice-sever,Ostrava-město,Moravskoslezský
Ostrava,Výškovice-západ,Ostrava-město,Moravskoslezský
Ostrava,Výškovice-východ,Ostrava-město,Moravskoslezský
Ostrava,U vodárny,Ostrava-město,Moravskoslezský
Ostrava,Proskovická,Ostrava-město,Moravskoslezský
Ostrava,U Korýtka,Ostrava-město,Moravskoslezský
Otročín,Brť,Karlovy Vary,Karlovarský
Otročín,Měchov,Karlovy Vary,Karlovarský
Otročín,Otročín,Karlovy Vary,Karlovarský
Otročín,Poseč,Karlovy Vary,Karlovarský
Otročín,Tisová,Karlovy Vary,Karlovarský
Pardubice,Pardubice-Staré Město,Pardubice,Pardubický
Pardubice,Střed,Pardubice,Pardubický
Pardubice,Zelené Předměstí,Pardubice,Pardubický
Pardubice,Zavadilka,Pardubice,Pardubický
Pardubice,Na spravedlnosti,Pardubice,Pardubický
Pardubice,Skřivánek,Pardubice,Pardubický
Pardubice,Dukla,Pardubice,Pardubický
Pardubice,Višňovka,Pardubice,Pardubický
Pardubice,Jesničánky,Pardubice,Pardubický
Pardubice,Zborovské náměstí,Pardubice,Pardubický
Pardubice,Pod vinicí,Pardubice,Pardubický
Pardubice,U kostelíčka,Pardubice,Pardubický
Pardubice,Na Spořilově,Pardubice,Pardubický
Pardubice,Na Drážce-západ,Pardubice,Pardubický
Pardubice,Věznice,Pardubice,Pardubický
Pardubice,Studánka,Pardubice,Pardubický
Pardubice,Pardubičky-průmyslový obvod,Pardubice,Pardubický
Pardubice,Pardubičky,Pardubice,Pardubický
Pardubice,Nemocnice,Pardubice,Pardubický
Pardubice,Pipenec,Pardubice,Pardubický
Pardubice,Sídliště Dubina,Pardubice,Pardubický
Pardubice,Velký les u Sezemic,Pardubice,Pardubický
Pardubice,Hůrka,Pardubice,Pardubický
Pardubice,Osada Hůrka,Pardubice,Pardubický
Pardubice,Horní polabina,Pardubice,Pardubický
Pardubice,Ležánka,Pardubice,Pardubický
Pardubice,Na slepých ramenech,Pardubice,Pardubický
Pardubice,Cihelna,Pardubice,Pardubický
Pardubice,Fáblovka-sever,Pardubice,Pardubický
Pardubice,Trnová,Pardubice,Pardubický
Pardubice,Polabiny II,Pardubice,Pardubický
Pardubice,Polabiny I,Pardubice,Pardubický
Pardubice,Stavařov,Pardubice,Pardubický
Pardubice,Polabiny III,Pardubice,Pardubický
Pardubice,Polabiny IV,Pardubice,Pardubický
Pardubice,Prutina,Pardubice,Pardubický
Pardubice,Zadní polabina,Pardubice,Pardubický
Pardubice,Svítkov,Pardubice,Pardubický
Pardubice,Svítkov-průmyslový obvod,Pardubice,Pardubický
Pardubice,Závodiště,Pardubice,Pardubický
Pardubice,Za závodištěm,Pardubice,Pardubický
Pardubice,Zelenobranská dubina,Pardubice,Pardubický
Pardubice,Nové Jesenčany,Pardubice,Pardubický
Ostrava,Petřkovice,Ostrava-město,Moravskoslezský
Praha,Písnice,Praha,Praha
Ostrava,Kopaniny,Ostrava-město,Moravskoslezský
Ostrava,Nová Plesná,Ostrava-město,Moravskoslezský
Ostrava,Stará Plesná,Ostrava-město,Moravskoslezský
Plzeň,Plzeň-historické jádro,Plzeň-město,Plzeňský
Plzeň,Centrum-východ,Plzeň-město,Plzeňský
Plzeň,Centrum-jih,Plzeň-město,Plzeňský
Plzeň,Centrum-jihozápad,Plzeň-město,Plzeňský
Plzeň,Centrum-západ,Plzeň-město,Plzeňský
Plzeň,Park kultury,Plzeň-město,Plzeňský
Plzeň,Záhorsko,Plzeň-město,Plzeňský
Plzeň,Roudná,Plzeň-město,Plzeňský
Plzeň,U Spartaku,Plzeň-město,Plzeňský
Plzeň,Hamburk,Plzeň-město,Plzeňský
Plzeň,Hlavní nádraží,Plzeň-město,Plzeňský
Plzeň,Pivovary,Plzeň-město,Plzeňský
Plzeň,Beranovka,Plzeň-město,Plzeňský
Plzeň,Bílá Hora,Plzeň-město,Plzeňský
Plzeň,Bolevec,Plzeň-město,Plzeňský
Plzeň,Nemocnice Lochotín,Plzeň-město,Plzeňský
Plzeň,Starý Lochotín,Plzeň-město,Plzeňský
Plzeň,Sídliště Lochotín-sever,Plzeň-město,Plzeňský
Plzeň,Vinice-jih,Plzeň-město,Plzeňský
Plzeň,Stará Košutka,Plzeň-město,Plzeňský
Plzeň,Bolevecké rybníky,Plzeň-město,Plzeňský
Plzeň,Petrohrad,Plzeň-město,Plzeňský
Plzeň,Lobezská-průmyslový obvod,Plzeň-město,Plzeňský
Plzeň,Papírna,Plzeň-město,Plzeňský
Plzeň,Nad papírnou,Plzeň-město,Plzeňský
Plzeň,Pod Homolkou,Plzeň-město,Plzeňský
Plzeň,U Jiráskova náměstí,Plzeň-město,Plzeňský
Plzeň,Staré Slovany,Plzeň-město,Plzeňský
Plzeň,Slovany-u stadionů,Plzeň-město,Plzeňský
Plzeň,Sídliště Slovany,Plzeň-město,Plzeňský
Plzeň,Petřín-západ,Plzeň-město,Plzeňský
Plzeň,Božkov,Plzeň-město,Plzeňský
Plzeň,Božkov-průmyslový obvod,Plzeň-město,Plzeňský
Plzeň,Slovany-průmyslový obvod,Plzeň-město,Plzeňský
Plzeň,Za Homolkou,Plzeň-město,Plzeňský
Plzeň,Homolka,Plzeň-město,Plzeňský
Plzeň,Hradiště,Plzeň-město,Plzeňský
Plzeň,Čechurov-jih,Plzeň-město,Plzeňský
Plzeň,Bručná-jih,Plzeň-město,Plzeňský
Plzeň,U zimního stadionu,Plzeň-město,Plzeňský
Plzeň,Bory-u nemocnice,Plzeň-město,Plzeňský
Plzeň,Nemocnice,Plzeň-město,Plzeňský
Plzeň,Proti Belánce,Plzeň-město,Plzeňský
Plzeň,Bezovka,Plzeň-město,Plzeňský
Plzeň,Nad Bezovkou,Plzeň-město,Plzeňský
Plzeň,Staré Bory,Plzeň-město,Plzeňský
Plzeň,Sídliště Bory,Plzeň-město,Plzeňský
Plzeň,Doudlevce-průmyslový obvod,Plzeň-město,Plzeňský
Plzeň,Doudlevce,Plzeň-město,Plzeňský
Plzeň,Výsluní,Plzeň-město,Plzeňský
Plzeň,České údolí,Plzeň-město,Plzeňský
Plzeň,Litická přehrada,Plzeň-město,Plzeňský
Plzeň,Valcha,Plzeň-město,Plzeňský
Plzeň,Borská pole,Plzeň-město,Plzeňský
Plzeň,Zelený trojúhelník,Plzeň-město,Plzeňský
Plzeň,Hlavní závod,Plzeň-město,Plzeňský
Plzeň,Na Stráních,Plzeň-město,Plzeňský
Plzeň,Přední Skvrňany,Plzeň-město,Plzeňský
Plzeň,Zadní Skvrňany,Plzeň-město,Plzeňský
Plzeň,Slovanské údolí,Plzeň-město,Plzeňský
Plzeň,Zátiší,Plzeň-město,Plzeňský
Plzeň,Nová Hospoda,Plzeň-město,Plzeňský
Plzeň,Lobzy,Plzeň-město,Plzeňský
Plzeň,Ústřední hřbitov,Plzeň-město,Plzeňský
Plzeň,Pod Švabinami,Plzeň-město,Plzeňský
Plzeň,Letná,Plzeň-město,Plzeňský
Plzeň,Malá Doubravka,Plzeň-město,Plzeňský
Plzeň,Sídliště Doubravka,Plzeň-město,Plzeňský
Plzeň,Doubravka,Plzeň-město,Plzeňský
Plzeň,Přední Újezd,Plzeň-město,Plzeňský
Plzeň,Zadní Újezd,Plzeň-město,Plzeňský
Plzeň,Bukovec,Plzeň-město,Plzeňský
Plzeň,Chlum,Plzeň-město,Plzeňský
Plzeň,Nad Týncem,Plzeň-město,Plzeňský
Plzeň,Jateční,Plzeň-město,Plzeňský
Plzeň,Litice,Plzeň-město,Plzeňský
Cheb,Podhrad,Cheb,Karlovarský
Ostrava,Janová-Přemyšov,Ostrava-město,Moravskoslezský
Ostrava,Polanka-střed,Ostrava-město,Moravskoslezský
Cheb,Chvoječná,Cheb,Karlovarský
Cheb,Loužek,Cheb,Karlovarský
Praha,Betlémský obvod,Praha,Praha
Praha,Josefov,Praha,Praha
Praha,Haštalský obvod,Praha,Praha
Praha,Jakubský obvod,Praha,Praha
Praha,Petrský obvod,Praha,Praha
Praha,Masarykovo nádraží,Praha,Praha
Praha,Jindřišský obvod,Praha,Praha
Praha,Smetanovo divadlo,Praha,Praha
Praha,Vodičkova,Praha,Praha
Praha,Vojtěšský obvod,Praha,Praha
Praha,Horní malostranský obvod,Praha,Praha
Praha,Seminářská zahrada,Praha,Praha
Praha,Strahovská zahrada,Praha,Praha
Praha,Pohořelec,Praha,Praha
Praha,Hrad,Praha,Praha
Praha,Dolní malostranský obvod,Praha,Praha
Praha,Pod Letnou,Praha,Praha
Praha,Náměstí Míru,Praha,Praha
Praha,Londýnská,Praha,Praha
Praha,Albertov,Praha,Praha
Praha,Štěpánský obvod-západ,Praha,Praha
Praha,Nad muzeem,Praha,Praha
Praha,Hlavní nádraží,Praha,Praha
Praha,Na Smetance,Praha,Praha
Praha,Riegrovy sady,Praha,Praha
Praha,U Riegrových sadů,Praha,Praha
Praha,U Čechových sadů,Praha,Praha
Praha,Havlíčkovy sady,Praha,Praha
Praha,Na Kleovce,Praha,Praha
Praha,Folimanka-východ,Praha,Praha
Praha,Nuselské údolí,Praha,Praha
Praha,Vyšehrad,Praha,Praha
Praha,Podskalí,Praha,Praha
Praha,Zderaz,Praha,Praha
Praha,Na Ohradě,Praha,Praha
Praha,Vápenka,Praha,Praha
Praha,Židovské pece,Praha,Praha
Praha,Nákladové nádraží,Praha,Praha
Praha,Vrch Svatého kříže,Praha,Praha
Praha,Havlíčkovo náměstí,Praha,Praha
Praha,Komenského náměstí,Praha,Praha
Praha,Vrch Žižkov,Praha,Praha
Praha,Pod Pražačkou,Praha,Praha
Praha,Na Krejcárku,Praha,Praha
Praha,Na Balkáně,Praha,Praha
Praha,Chmelnice,Praha,Praha
Praha,Jarov,Praha,Praha
Praha,Vackov,Praha,Praha
Praha,U Třebešína,Praha,Praha
Praha,Olšanské hřbitovy,Praha,Praha
Praha,Stromky,Praha,Praha
Praha,Flora,Praha,Praha
Praha,Řipská,Praha,Praha
Praha,U Olšan,Praha,Praha
